,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
0,São João da Barra,-21.64,-41.05,296.77,89,71,6.83
1,Ushuaia,-54.8,-68.3,281.15,39,40,3.6
2,Avarua,-21.21,-159.78,296.15,78,100,3.1
3,Lavrentiya,65.58,-171.0,272.34,91,100,4.41
4,Lebu,-37.62,-73.65,283.55,82,98,5.5
5,Carnarvon,-24.87,113.63,294.15,73,0,10.8
6,Shetpe,44.17,52.12,273.6,78,1,3.67
7,Rikitea,-23.12,-134.97,297.28,83,100,7.13
8,Arrondissement d'Arcachon,44.59,-1.05,287.15,100,90,5.1
9,Puerto Ayora,-0.74,-90.35,293.15,93,99,1.34
10,Grindavik,63.84,-22.43,277.15,55,0,11.8
11,Severo-Kuril'sk,50.68,156.12,280.44,77,14,2.24
12,Kampot,10.62,104.18,301.15,78,40,5.1
13,Nikolskoye,59.7,30.79,284.26,87,90,4.0
14,Hasaki,35.73,140.83,289.26,87,75,2.1
15,Albany,42.6,-73.97,282.04,80,100,0.89
16,Vila,42.03,-8.16,285.37,95,100,2.68
17,Yellowknife,62.46,-114.35,265.15,67,75,2.6
18,Leningradskiy,69.38,178.42,266.06,90,7,8.26
19,Nuuk,64.18,-51.72,268.71,79,3,2.68
20,Castro,-24.79,-50.01,289.1,63,0,1.71
21,São João do Piauí,-8.36,-42.25,297.35,85,100,0.6
22,Khatanga,71.97,102.5,252.34,90,50,4.74
23,Hay River,60.82,-115.8,268.15,85,75,3.1
24,Mahébourg,-20.41,57.7,294.26,80,3,0.89
25,Longyearbyen,78.22,15.64,273.15,95,75,2.1
26,Hobart,-42.88,147.33,287.59,66,75,4.1
27,Kapaa,22.08,-159.32,301.48,69,75,2.6
28,Maryborough,-25.53,152.7,300.38,59,40,2.3
29,Ribeira Grande,38.52,-28.7,290.36,60,100,1.64
30,Tapes,-30.67,-51.4,290.51,85,100,4.59
31,Mar del Plata,-38.0,-57.56,288.15,71,0,3.8
32,Atuona,-9.8,-139.03,299.17,73,1,8.68
33,Bethel,41.37,-73.41,284.15,57,90,1.5
34,Port Alfred,-33.59,26.89,290.83,86,36,6.61
35,Faanui,-16.48,-151.75,299.68,82,71,7.94
36,Upernavik,72.79,-56.15,264.73,79,0,2.63
37,Laguna,38.42,-121.42,297.59,18,1,1.5
38,Puerto Escondido,15.85,-97.07,299.15,69,90,1.5
39,Cape Town,-33.93,18.42,290.93,82,75,3.1
40,Busselton,-33.65,115.33,288.15,90,14,0.45
41,Dudinka,69.41,86.18,252.61,86,0,2.56
42,East London,-33.02,27.91,293.59,80,35,7.44
43,Hithadhoo,-0.6,73.08,301.83,66,93,4.81
44,Samarai,-10.62,150.67,301.33,80,17,4.13
45,Fiumicino,41.77,12.23,285.37,93,0,2.1
46,Shizunai-furukawachō,42.33,142.37,285.08,58,100,0.77
